time       epoch       loss   val_loss
08:17:08     741   0.119526   0.224873
08:17:54     742   0.113928   0.239927
08:18:39     743   0.118017   0.232882
08:19:25     744   0.116093   0.233073
08:20:11     745   0.115969   0.233754
08:20:57     746   0.117845   0.226464
08:21:42     747   0.115889   0.235515
08:22:28     748   0.116894   0.220173
08:23:14     749   0.116974   0.233960
08:23:59     750   0.117572   0.236069
08:24:46     751   0.117881   0.222259
08:25:32     752   0.117860   0.222841
08:26:17     753   0.115846   0.226040
08:27:03     754   0.117060   0.231473
08:27:48     755   0.116210   0.242727
08:28:34     756   0.114033   0.238669
08:29:20     757   0.117548   0.214915
08:30:05     758   0.112650   0.245452
08:30:51     759   0.114692   0.231353
08:31:36     760   0.115402   0.230966
08:32:22     761   0.113887   0.237035
08:33:08     762   0.114158   0.224319
08:33:53     763   0.114947   0.229454
08:34:39     764   0.115150   0.229606
08:35:24     765   0.114063   0.221115
08:36:09     766   0.114487   0.236467
08:36:54     767   0.115498   0.230926
08:37:40     768   0.117351   0.242331
08:38:25     769   0.114370   0.230615
08:39:11     770   0.114991   0.234016
08:39:56     771   0.111359   0.236399
08:40:41     772   0.115963   0.238014
08:41:26     773   0.115804   0.237787
08:42:11     774   0.115906   0.230529
08:42:56     775   0.114355   0.236001
08:43:41     776   0.113336   0.238343
08:44:27     777   0.113745   0.246094
08:45:13     778   0.114589   0.228866
08:45:58     779   0.117943   0.220539
08:46:44     780   0.112934   0.228419
08:47:29     781   0.112079   0.230772
08:48:14     782   0.112846   0.236227
08:48:59     783   0.115423   0.237650
08:49:45     784   0.116125   0.236046
08:50:31     785   0.115912   0.235293
08:51:18     786   0.112372   0.238735
08:52:03     787   0.112679   0.262327
08:52:48     788   0.114971   0.219562
08:53:34     789   0.112948   0.245553
08:54:19     790   0.114225   0.243713
08:55:04     791   0.113311   0.229865
08:55:49     792   0.112933   0.242328
08:56:32     793   0.110858   0.229166
08:57:18     794   0.111410   0.232274
08:58:03     795   0.112764   0.236752
08:58:48     796   0.112980   0.229290
08:59:33     797   0.113302   0.236699
09:00:18     798   0.113910   0.218249
09:01:03     799   0.115440   0.228601
09:01:49     800   0.111089   0.243009
09:02:33     801   0.112329   0.238477
09:03:19     802   0.111860   0.225335
09:04:03     803   0.115136   0.234411
09:04:48     804   0.112375   0.240472
09:05:33     805   0.110877   0.234629
09:06:18     806   0.112664   0.247201
09:07:04     807   0.112684   0.229394
09:07:49     808   0.112599   0.240437
09:08:35     809   0.112614   0.240993
09:09:20     810   0.111974   0.242051
09:10:05     811   0.114201   0.237064
09:10:50     812   0.110382   0.237860
09:11:35     813   0.108615   0.229477
09:12:21     814   0.112494   0.238471
09:13:06     815   0.110012   0.244596
09:13:52     816   0.112943   0.224577
09:14:38     817   0.110304   0.230341
09:15:23     818   0.112881   0.228777
09:16:09     819   0.112036   0.231239
09:16:53     820   0.112579   0.230947
09:17:39     821   0.111141   0.237552
09:18:24     822   0.109599   0.231236
09:19:10     823   0.112168   0.239342
09:19:55     824   0.109416   0.237374
09:20:41     825   0.112580   0.238132
09:21:27     826   0.113679   0.241082
